DHID,MIDX,MIDY,MIDZ,LENGTH,FROM,TO,GEOCOD,FE,SIO2,AL2O3,P,MN,LOI,S,TIO2,MGO,CAO,ACDENS,ASS_TO,LOI425,LOI650,ORE
RC17BS4B0563,529545.344,7502375.882,588.174,2,2,4,265,55.16,6.97,3.47,0.136,0.01,8.49,0.047,0.08,0.33,1.08,2.776,99.94,6.48,1.79,0
RC17BS4B0563,529545.344,7502375.882,586.174,2,4,6,265,57.45,5.48,3.51,0.138,0.02,7.85,0.039,0.08,0.13,0.3,3.018,100.1,6.4,1.17,0
RC17BS4B0563,529545.342,7502375.883,584.174,2,6,8,265,59.25,4.71,3.21,0.136,0.02,6.5,0.03,0.08,0.08,0.22,2.982,100.08,5.3,0.95,0
RC17BS4B0563,529545.34,7502375.884,582.174,2,8,10,265,60.18,4.03,3.13,0.141,0.02,5.74,0.035,0.06,0.08,0.12,2.906,99.8,4.6,0.83,0
RC17BS4B0563,529545.338,7502375.884,580.174,2,10,12,265,54.11,6.96,5.84,0.14,0.03,8.23,0.037,0.42,0.09,0.26,2.776,99.79,6.26,1.65,0
RC17BS4B0564,529614.016,7501447.273,532.016,2,14,16,435,58.48,5.4,2.24,0.2,0.03,8.03,0.006,0.07,0.15,0.04,3.305,100.1,7.21,0.69,0
RC17BS4B0564,529613.833,7501446.339,530.257,2,16,18,435,58.4,5.79,3.34,0.138,0.02,6.98,0.005,0.09,0.14,0.04,3.257,100.28,5.92,0.9,0
RC17BS4B0564,529613.649,7501445.405,528.498,2,18,20,435,57.14,6.19,3.97,0.186,0.04,7.56,0.004,0.1,0.15,0.04,3.151,100.23,6.31,1.08,0
RC17BS4B0564,529613.466,7501444.471,526.739,2,20,22,435,61.5,3.77,2.24,0.112,0.02,5.52,0.003,0.05,0.11,0.03,3.042,99.98,4.77,0.63,0
RC17BS4B0564,529613.283,7501443.537,524.98,2,22,24,435,63.05,2.8,1.54,0.127,0.03,5.04,0.002,0.03,0.07,0.02,2.966,100,4.42,0.5,0
RC17BS4B0564,529613.1,7501442.603,523.221,2,24,26,435,53.2,7.35,5.74,0.199,0.03,9.86,0.009,0.17,0.1,0.03,2.939,99.89,8.07,1.58,0
RC17BS4B0564,529612.95,7501441.669,521.459,2,26,28,435,63.61,2.52,1.53,0.126,0.02,4.8,0.003,0.04,0.05,0.02,3.152,100.27,4.16,0.5,0
RC17BS4B0564,529612.801,7501440.736,519.696,2,28,30,435,62.58,2.92,2.01,0.158,0.02,4.94,0.003,0.06,0.04,0.02,2.804,99.88,4.24,0.58,0
RC17BS4B0565,529613.84,7501470.571,522.336,2,22,24,435,59.91,3.93,2.35,0.195,0.07,7.67,0.008,0.03,0.03,0.02,3.073,100.3,6.66,0.87,0
RC17BS4B0565,529613.829,7501470.585,520.336,2,24,26,435,62.7,2.12,1.17,0.175,0.04,6.59,0.008,0.02,0.03,0.01,3.126,100.1,5.92,0.51,0
RC17BS4B0565,529613.818,7501470.603,518.336,2,26,28,412,64.43,1.7,0.97,0.176,0.04,4.8,0.005,0.02,0.03,0.01,3.194,100.16,4.3,0.35,0
RC17BS4B0565,529613.806,7501470.62,516.336,2,28,30,412,63.95,1.89,1.09,0.207,0.04,5.21,0.004,0.03,0.04,0.02,3.274,100.29,4.71,0.38,0
RC17BS4B0565,529613.794,7501470.638,514.336,2,30,32,412,65.19,1.52,0.83,0.169,0.04,3.89,0.004,0.02,0.03,0.01,3.237,100,3.5,0.28,0
RC17BS4B0565,529613.783,7501470.656,512.336,2,32,34,412,57.04,6.05,3.85,0.194,0.05,7.69,0.011,0.09,0.06,0.03,2.924,99.9,6.35,1.16,0
RC17BS4B0565,529613.771,7501470.674,510.336,2,34,36,412,64.15,2.29,0.61,0.131,0.06,5.15,0.004,0.01,0.02,0.01,3.163,100.23,4.53,0.35,0
RC17BS4B0565,529613.768,7501470.679,508.336,2,36,38,412,65.38,1.22,0.47,0.094,0.04,4.72,0.003,0.01,0.02,0.01,3.735,100.24,4.24,0.26,0
RC17BS4B0565,529613.765,7501470.685,506.336,2,38,40,412,65.07,1.5,0.78,0.103,0.02,4.45,0.002,0.01,0.03,0.01,3.382,100.11,3.77,0.36,0
RC17BS4B0565,529613.762,7501470.69,504.336,2,40,42,412,64.33,1.5,0.71,0.169,0.04,5.55,0.004,0.01,0.03,0.02,3.282,100.28,5.05,0.36,0
RC17BS4B0565,529613.759,7501470.696,502.336,2,42,44,412,59.14,5.25,2.2,0.188,0.04,7.47,0.006,0.05,0.04,0.02,2.989,100.11,6.58,0.78,0
RC17BS4B0565,529613.756,7501470.701,500.336,2,44,46,412,51.81,9.55,6.95,0.214,0.04,8.63,0.007,0.22,0.12,0.04,2.903,100.21,6.47,1.98,0
RC17BS4B0565,529613.752,7501470.708,498.336,2,46,48,412,64.62,1.9,0.94,0.111,0.04,4.37,0.003,0.01,0.02,0.01,3.524,99.98,3.91,0.38,0
RC17BS4B0565,529613.749,7501470.716,496.336,2,48,50,412,60.47,4.1,3.08,0.185,0.05,5.76,0.004,0.05,0.07,0.03,3.063,100.09,4.75,0.89,0
RC17BS4B0565,529613.745,7501470.723,494.337,2,50,52,412,55.74,5.76,4.47,0.276,0.06,9.32,0.006,0.12,0.1,0.05,2.824,100.31,7.83,1.31,0
RC17BS4B0565,529613.741,7501470.73,492.337,2,52,54,412,56.82,4.55,3.5,0.268,0.09,9.42,0.007,0.1,0.1,0.05,3.007,99.77,8.3,0.96,0
RC17BS4B0565,529613.738,7501470.737,490.337,2,54,56,412,57.36,4.69,3.57,0.241,0.09,8.94,0.005,0.09,0.12,0.04,2.958,100.19,7.8,0.96,0
RC17BS4B0565,529613.732,7501470.758,488.337,2,56,58,412,62.86,1.92,1.07,0.179,0.09,6.18,0.004,0.02,0.08,0.02,3.047,99.73,5.66,0.38,0
RC17BS4B0565,529613.727,7501470.779,486.337,2,58,60,412,61.91,2.62,1.85,0.192,0.1,6.27,0.004,0.03,0.12,0.03,2.973,100.08,5.62,0.51,0
RC17BS4B0566,529609.014,7501511.374,531.624,2,16,18,435,55.06,9.71,3.9,0.064,0.02,6.93,0.007,0.16,0.34,0.07,2.593,100.14,5.81,0.93,0
RC17BS4B0566,529609.017,7501511.375,529.624,2,18,20,435,57.82,7.79,3.16,0.075,0.02,5.47,0.005,0.11,0.27,0.05,3.047,99.82,4.57,0.74,0
RC17BS4B0566,529609.019,7501511.375,527.624,2,20,22,435,58.34,7.4,3.12,0.105,0.03,5.17,0.006,0.12,0.31,0.06,3.087,99.98,4.25,0.76,0
RC17BS4B0566,529609.022,7501511.375,525.624,2,22,24,435,59.27,6.74,3.12,0.093,0.03,4.49,0.006,0.12,0.33,0.06,2.886,99.96,3.53,0.78,0
RC17BS4B0566,529609.024,7501511.375,523.624,2,24,26,435,59.87,5.7,2.69,0.133,0.04,5.2,0.005,0.09,0.26,0.04,2.996,100.03,4.33,0.72,0
RC17BS4B0566,529609.025,7501511.374,521.624,2,26,28,435,49.37,11.28,7.38,0.219,0.07,9.18,0.008,0.2,0.32,0.06,2.438,99.72,7.03,1.97,0
RC17BS4B0566,529609.026,7501511.372,519.624,2,28,30,435,52.88,9.06,6.85,0.173,0.04,7.74,0.007,0.11,0.1,0.02,2.782,100.03,5.68,1.89,0
RC17BS4B0566,529609.027,7501511.37,517.624,2,30,32,435,59.3,4.99,3.41,0.123,0.06,5.97,0.006,0.04,0.12,0.01,2.982,99.75,4.7,1.09,0
RC17BS4B0566,529609.028,7501511.368,515.624,2,32,34,435,61.47,4.24,2.42,0.114,0.04,5.02,0.004,0.05,0.1,0.01,2.977,100.11,4.17,0.73,0
RC17BS4B0566,529609.029,7501511.366,513.624,2,34,36,435,60.98,4.94,2.57,0.134,0.04,4.67,0.006,0.04,0.08,0.01,2.861,99.92,3.76,0.75,0
RC17BS4B0566,529609.029,7501511.364,511.624,2,36,38,435,59.3,10.83,0.45,0.097,0.03,3.59,0.005,0.01,0.06,0.005,2.908,100.05,3.21,0.25,0
RC17BS4B0566,529609.029,7501511.362,509.624,2,38,40,435,47.07,15.79,7.86,0.156,0.07,8.31,0.007,0.13,0.15,0.02,2.568,100.11,5.84,2.25,0
RC17BS4B0566,529609.029,7501511.36,507.624,2,40,42,435,55.87,14.03,0.78,0.121,0.04,5.13,0.005,0.01,0.06,0.005,2.851,100.29,4.64,0.38,0
RC17BS4B0566,529609.029,7501511.358,505.624,2,42,44,435,43.12,32.64,0.23,0.098,0.02,5.2,0.009,0.005,0.04,0.005,3.011,100.1,4.84,0.27,0
RC17BS4B0566,529609.03,7501511.356,503.624,2,44,46,435,38.74,26.12,8.71,0.186,0.04,8.84,0.007,0.19,0.1,0.04,2.498,99.99,5.99,2.67,0
RC17BS4B0566,529609.031,7501511.354,501.624,2,46,48,435,53.23,8.32,5.9,0.219,0.04,8.94,0.007,0.15,0.09,0.04,2.638,100.19,6.93,1.83,0
RC17BS4B0566,529609.031,7501511.352,499.624,2,48,50,412,64.84,1.51,0.74,0.158,0.05,4.67,0.003,0.01,0.06,0.005,3.085,100.17,4.33,0.27,0
RC17BS4B0566,529609.032,7501511.35,497.624,2,50,52,412,56.03,6.6,4.04,0.233,0.05,8.43,0.007,0.09,0.11,0.04,2.734,100.1,7.13,1.16,0
RC17BS4B0566,529609.033,7501511.348,495.624,2,52,54,412,62.96,2.66,1.84,0.168,0.05,4.97,0.004,0.03,0.07,0.04,2.983,100.13,4.39,0.49,0
RC17BS4B0566,529609.034,7501511.346,493.624,2,54,56,412,64.53,1.85,1.21,0.158,0.04,4.26,0.003,0.01,0.06,0.03,2.948,100.14,3.77,0.41,0
RC17BS4B0566,529609.057,7501511.347,491.624,2,56,58,412,65,1.86,1.07,0.133,0.05,3.86,0.004,0.02,0.07,0.01,2.825,100.25,3.44,0.33,0
RC17BS4B0566,529609.08,7501511.348,489.624,2,58,60,412,56,11.9,1.85,0.176,0.04,5.61,0.005,0.02,0.07,0.01,2.899,100.03,4.98,0.51,0
RC17BS4B0566,529609.2,7501511.361,481.625,2,66,68,412,55.81,7.01,3.92,0.223,0.03,8.61,0.009,0.09,0.09,0.02,2.871,100.18,7.26,1.2,0
RC17BS4B0566,529609.252,7501511.371,479.626,2,68,70,412,54.39,7.87,4.72,0.22,0.04,9,0.007,0.09,0.11,0.03,2.721,100.23,7.42,1.4,0
RC17BS4B0566,529609.303,7501511.382,477.627,2,70,72,412,59.48,5.93,2.48,0.198,0.03,5.56,0.005,0.05,0.05,0.01,2.57,99.69,4.76,0.69,0
RC17BS4B0566,529609.354,7501511.392,475.627,2,72,74,412,57.38,6.74,3.34,0.21,0.03,7.16,0.009,0.11,0.07,0.02,2.751,100.09,6,1.02,0
RC17BS4B0566,529609.405,7501511.403,473.628,2,74,76,412,60.42,3.99,2.81,0.204,0.04,6.19,0.006,0.07,0.08,0.02,2.89,100.14,5.35,0.72,0
RC17BS4B0566,529609.46,7501511.417,471.629,2,76,78,412,47.41,10.61,9.43,0.28,0.06,10.84,0.01,0.35,0.2,0.07,2.601,100.15,8.07,2.52,0
RC17BS4B0566,529609.514,7501511.432,469.63,2,78,80,412,53.64,7.16,5.06,0.326,0.05,9.92,0.008,0.15,0.16,0.04,2.594,100.11,8.51,1.24,0
RC17BS4B0566,529609.568,7501511.446,467.63,2,80,82,412,58.18,3.3,3.03,0.314,0.07,9.37,0.009,0.09,0.16,0.04,2.91,100.08,8.52,0.68,0
RC17BS4B0567,529697.558,7501577.744,531.131,2,18,20,435,55.02,7.25,4.39,0.178,0.02,8.97,0.006,0.23,0.16,0.05,2.938,100.2,7.67,1.1,0
RC17BS4B0567,529697.57,7501577.725,529.131,2,20,22,435,59.15,5.01,2.95,0.155,0.02,6.8,0.006,0.13,0.12,0.04,3.268,100.05,5.81,0.82,0
RC17BS4B0567,529697.582,7501577.706,527.132,2,22,24,435,61.43,3.94,2.42,0.135,0.02,5.43,0.003,0.09,0.11,0.03,3.046,100.23,4.63,0.65,0
RC17BS4B0567,529697.594,7501577.686,525.132,2,24,26,435,62.15,3.01,2.08,0.142,0.02,5.5,0.004,0.07,0.07,0.02,3.185,100,4.76,0.56,0
RC17BS4B0567,529697.61,7501577.66,523.132,2,26,28,435,63.89,2.67,1.34,0.116,0.01,4.09,0.002,0.04,0.05,0.01,3.052,99.85,3.46,0.41,0
RC17BS4B0568,529633.446,7501943.857,543.605,2,24,26,265,51.94,3.82,8.2,0.108,0.02,12.07,0.134,0.86,0.04,0.005,2.839,99.94,10.37,1.19,0
RC17BS4B0568,529633.447,7501943.859,541.605,2,26,28,265,52.88,3.45,6.64,0.068,0.07,11.59,0.13,1.99,0.06,0.01,3.063,100.03,10.06,1.01,0
RC17BS4B0568,529633.448,7501943.86,539.605,2,28,30,265,54.01,3.99,5.36,0.044,0.04,11.54,0.091,1.35,0.06,0.01,3.112,100.01,10.21,0.93,0
RC17BS4B0568,529633.449,7501943.862,537.605,2,30,32,265,49.7,7.57,8.25,0.033,0.01,11.35,0.041,1.3,0.1,0.03,3.071,99.96,9.52,1.54,0
RC17BS4B0568,529633.449,7501943.863,535.605,2,32,34,265,50.35,8.08,7.21,0.038,0.01,11.16,0.025,1.1,0.11,0.03,3.064,99.94,9.37,1.53,0
RC17BS4B0568,529633.45,7501943.865,533.605,2,34,36,265,50.73,8.28,6.6,0.07,0.005,11.44,0.013,0.72,0.14,0.04,3.045,100.02,9.71,1.53,0
RC17BS4B0568,529633.451,7501943.867,531.605,2,36,38,265,50.66,8.6,6.76,0.077,0.005,11.16,0.013,0.44,0.18,0.05,2.939,99.92,9.39,1.57,0
RC17BS4B0568,529633.452,7501943.869,529.605,2,38,40,265,44.92,13.92,9.25,0.047,0.05,10.52,0.012,1.2,0.35,0.09,2.63,99.91,7.94,2.33,0
RC17BS4B0568,529633.453,7501943.872,527.605,2,40,42,265,53.42,8.31,5.82,0.1,0.03,8.35,0.009,0.4,0.25,0.06,3.063,99.93,6.63,1.48,0
RC17BS4B0568,529633.454,7501943.874,525.605,2,42,44,265,59.84,3.72,3.31,0.139,0.005,6.91,0.006,0.15,0.06,0.02,3.253,100.1,5.92,0.8,0
RC17BS4B0568,529633.455,7501943.876,523.605,2,44,46,265,61.89,2.61,2.79,0.118,0.005,5.54,0.009,0.1,0.06,0.02,3.155,99.94,4.77,0.61,0
RC17BS4B0568,529633.461,7501943.875,521.605,2,46,48,265,61.75,2.69,2.64,0.11,0.005,5.85,0.007,0.11,0.04,0.01,3.157,99.94,5.05,0.64,0
RC17BS4B0575,516053.925,7498392.56,470.134,2,56,58,435,59.62,1.72,2.3,0.157,0.01,9.94,0.016,0.12,0.08,0.03,-99,99.9,9.14,0.59,0
RC17BS4B0575,516053.966,7498392.548,468.134,2,58,60,435,57.46,2.53,3.59,0.2,0.01,10.83,0.023,0.14,0.08,0.04,2.488,99.96,9.7,0.89,0
RC17BS4B0575,516054.008,7498392.536,466.135,2,60,62,435,51.58,7.39,7.24,0.14,0.02,10.48,0.028,0.63,0.11,0.05,-99,100.16,8.02,2.1,0
RC17BS4B0575,516054.05,7498392.524,464.135,2,62,64,435,55.53,4.41,4.66,0.167,0.02,10.64,0.02,0.26,0.08,0.03,2.46,100.02,9.14,1.27,0
RC17BS4B0575,516054.098,7498392.51,462.136,2,64,66,435,59.9,1.79,2.26,0.149,0.02,9.78,0.024,0.09,0.06,0.03,-99,100.13,8.84,0.67,0
RC17BS4B0575,516054.157,7498392.494,460.137,2,66,68,435,58.21,2.77,2.73,0.192,0.07,10.33,0.021,0.04,0.11,0.05,2.657,99.89,9.37,0.74,0
RC17BS4B0575,516054.217,7498392.477,458.138,2,68,70,435,58.4,2.82,3.05,0.162,0.04,9.86,0.023,0.09,0.09,0.04,3.19,99.99,8.76,0.82,0
RC17BS4B0576,516044.121,7498442.386,505.985,2,20,22,435,61.08,2.41,1.82,0.065,0.01,8.16,0.012,0.08,0.07,0.03,3.292,100.13,7.45,0.55,0
RC17BS4B0576,516044.158,7498442.367,503.985,2,22,24,435,59.73,2.33,2.08,0.053,0.01,9.96,0.018,0.07,0.06,0.03,3.094,100.15,9.14,0.62,0
RC17BS4B0576,516044.194,7498442.347,501.986,2,24,26,435,58.06,3.04,2.83,0.08,0.01,10.45,0.021,0.15,0.09,0.04,2.925,99.9,9.47,0.72,0
RC17BS4B0576,516044.24,7498442.326,499.986,2,26,28,435,60.35,2.24,1.65,0.088,0.01,9.26,0.015,0.06,0.05,0.03,3.372,99.85,8.49,0.58,0
RC17BS4B0576,516044.285,7498442.304,497.987,2,28,30,435,61.05,2.07,1.37,0.089,0.01,8.88,0.014,0.09,0.05,0.02,3.405,100.05,8.15,0.56,0
RC17BS4B0576,516044.33,7498442.282,495.988,2,30,32,435,57.12,4.73,4.06,0.074,0.01,9.01,0.029,0.24,0.08,0.04,2.385,100.14,7.48,1.2,0
RC17BS4B0576,516044.376,7498442.26,493.988,2,32,34,435,55.33,6.69,5.46,0.085,0.01,7.9,0.022,0.08,0.14,0.06,2.542,99.76,5.86,1.64,0
RC17BS4B0576,516044.421,7498442.239,491.989,2,34,36,435,62.56,2.71,2.09,0.097,0.02,5.43,0.01,0.05,0.1,0.04,3.066,100.18,4.62,0.55,0
RC17BS4B0576,516044.496,7498442.207,489.991,2,36,38,435,60.79,2.9,2.57,0.102,0.02,6.87,0.02,0.12,0.06,0.03,2.921,99.82,5.75,0.78,0
RC17BS4B0578,529647.698,7501838.572,538.203,2,30,32,265,49.63,9.1,7.87,0.042,0.005,10.91,0.028,0.77,0.15,0.02,2.811,100.04,9.01,1.65,0
RC17BS4B0578,529647.667,7501838.559,536.203,2,32,34,265,50.2,8.96,7.17,0.048,0.01,11.04,0.02,0.69,0.19,0.04,3.005,100.13,9.38,1.41,0
RC17BS4B0578,529647.635,7501838.547,534.204,2,34,36,265,55.07,6.38,4.34,0.087,0.005,10.15,0.012,0.21,0.14,0.02,3.18,100.26,8.96,0.97,0
RC17BS4B0579,529685.996,7501634.066,487.987,2,70,72,402,65.35,0.98,0.48,0.127,0.02,4.61,0.003,0.02,0.03,0.01,2.889,99.92,4.13,0.28,0
RC17BS4B0579,529686.002,7501634.056,485.987,2,72,74,402,64.93,0.88,0.36,0.139,0.02,5.54,0.003,0.005,0.04,0.01,2.928,100.05,5.07,0.28,0
RC17BS4B0579,529686.008,7501634.047,483.987,2,74,76,402,66.51,0.94,0.45,0.082,0.04,3.17,0.002,0.005,0.04,0.01,2.795,99.99,2.76,0.2,0
RC17BS4B0579,529686.019,7501634.029,481.987,2,76,78,402,65.47,1.01,0.57,0.11,0.02,4.36,0.003,0.005,0.03,0.01,2.962,99.91,3.87,0.26,0
RC17BS4B0579,529686.03,7501634.01,479.988,2,78,80,402,62,2.98,2.22,0.195,0.04,5.52,0.004,0.03,0.04,0.04,3.124,100.03,4.7,0.66,0
RC17BS4B0579,529686.041,7501633.992,477.988,2,80,82,402,59.67,4.49,2.92,0.233,0.06,6.47,0.004,0.06,0.06,0.05,2.916,100.02,5.54,0.78,0
RC17BS4B0579,529686.053,7501633.974,475.988,2,82,84,402,54.71,5.94,5.05,0.336,0.08,9.52,0.007,0.12,0.15,0.07,2.687,100.02,8.1,1.19,0
RC17BS4B0579,529686.064,7501633.956,473.988,2,84,86,402,60.61,3.9,2.68,0.193,0.05,6.08,0.003,0.06,0.06,0.05,2.957,100.04,5.04,0.82,0
RC17BS4B0579,529686.078,7501633.93,471.988,2,86,88,402,63.13,2.33,1.58,0.137,0.02,5.4,0.002,0.02,0.03,0.03,2.848,100.04,4.67,0.55,0
RC17BS4B0579,529686.091,7501633.903,469.988,2,88,90,402,64.18,1.78,1.04,0.127,0.01,5.06,0.004,0.005,0.03,0.02,-99,100.05,4.4,0.47,0
RC17BS4B0579,529686.105,7501633.876,467.989,2,90,92,402,65.63,1.29,0.67,0.087,0.02,3.87,0.002,0.005,0.03,0.02,-99,99.99,3.31,0.31,0
RC17BS4B0579,529686.119,7501633.849,465.989,2,92,94,402,66.07,0.8,0.26,0.095,0.01,4.12,0.004,0.005,0.03,0.01,-99,99.96,3.69,0.21,0
RC17BS4B0579,529686.132,7501633.823,463.989,2,94,96,402,65.93,0.83,0.27,0.092,0.01,4.38,0.007,0.005,0.05,0.01,-99,100.09,3.87,0.25,0
RC17BS4B0579,529686.148,7501633.778,461.99,2,96,98,402,60.53,3.46,2.65,0.176,0.03,6.64,0.008,0.06,0.05,0.02,2.54,99.91,5.46,0.9,0
RC17BS4B0579,529686.164,7501633.733,459.99,2,98,100,402,60.54,3.4,2.48,0.163,0.06,6.85,0.004,0.06,0.1,0.02,-99,99.96,5.85,0.76,0
RC17BS4B0579,529686.18,7501633.688,457.991,2,100,102,402,63.49,2.16,1.61,0.176,0.04,4.98,0.005,0.005,0.05,0.02,2.873,100.1,4.16,0.57,0
