HOLEID,DEPTH,GAMMA,DENSITY_ACCEPTED,DENSITY,CALIPER,MAG_SUS,GAMMA_D,SI_GEOZONE_GP_D,SI_STRAND_GP_D,SI_STRATIGRAPHY_GP_D
RC17HSTD0006,0,,,,,,,771,NAM,MM
RC17HSTD0006,0.1,,,,,,,771,NAM,MM
RC17HSTD0006,0.2,,,,,,,771,NAM,MM
RC17HSTD0006,0.3,,,,,,,771,NAM,MM
RC17HSTD0006,0.4,,,,,,,771,NAM,MM
RC17HSTD0006,0.5,,,,,,,771,NAM,MM
RC17HSTD0006,0.6,,,,,,,771,NAM,MM
RC17HSTD0006,0.7,,,,,,,771,NAM,MM
RC17HSTD0006,0.8,,,,,,,771,NAM,MM
RC17HSTD0006,0.9,,,,,,,771,NAM,MM
RC17HSTD0006,1,,,,,,,771,NAM,MM
RC17HSTD0006,1.1,,,,,,,771,NAM,MM
RC17HSTD0006,1.2,,,,,187.593,,771,NAM,MM
RC17HSTD0006,1.3,,,,14.7424,190.871,,771,NAM,MM
RC17HSTD0006,1.4,,,,14.9348,185.407,,771,NAM,MM
RC17HSTD0006,1.5,,1.73397,1.73397,15.5052,173.751,,771,NAM,MM
RC17HSTD0006,1.6,,,1.70979,17.402,162.095,,771,NAM,MM
RC17HSTD0006,1.7,,2.15275,2.15275,15.0376,167.923,,771,NAM,MM
RC17HSTD0006,1.8,,2.15746,2.15746,15.5234,162.277,,771,NAM,MM
RC17HSTD0006,1.9,,,2.01755,16.393,168.651,,771,NAM,MM
RC17HSTD0006,2,,,1.64516,17.2784,173.751,,771,NAM,MM
RC17HSTD0006,2.1,,,1.69996,17.0728,162.095,,771,NAM,MM
RC17HSTD0006,2.2,,,1.39218,17.7766,161.73,,771,NAM,MM
RC17HSTD0006,2.3,,,1.31811,17.9837,161.184,,771,NAM,MM
RC17HSTD0006,2.4,,,1.5532,17.8781,156.267,,771,NAM,MM
RC17HSTD0006,2.5,,,1.36746,17.0557,162.095,,771,NAM,MM
RC17HSTD0006,2.6,,,1.31919,17.3888,162.277,,771,NAM,MM
RC17HSTD0006,2.7,,,1.79443,18.8733,179.761,,771,NAM,MM
RC17HSTD0006,2.8,,,1.47655,15.7752,167.194,,771,NAM,MM
RC17HSTD0006,2.9,,,1.53655,16.2853,175.026,,771,NAM,MM
RC17HSTD0006,3,,,1.43467,16.2744,167.194,,771,NAM,MM
RC17HSTD0006,3.1,,,1.62349,16.9109,162.459,,771,NAM,MM
RC17HSTD0006,3.2,,,1.91508,17.1221,168.105,,771,NAM,MM
RC17HSTD0006,3.3,,2.38899,2.38899,15.566,162.459,,771,NAM,MM
RC17HSTD0006,3.4,,2.68771,2.68771,14.5222,162.277,,771,NAM,MM
RC17HSTD0006,3.5,,2.58591,2.58591,14.6079,162.641,,771,NAM,MM
RC17HSTD0006,3.6,,2.32902,2.32902,15.3712,155.72,,771,NAM,MM
RC17HSTD0006,3.7,,2.36159,2.36159,14.9749,156.449,,771,NAM,MM
RC17HSTD0006,3.8,,2.49722,2.49722,14.6497,162.459,,771,NAM,MM
RC17HSTD0006,3.9,,2.19749,2.19749,14.961,162.641,,771,NAM,MM
RC17HSTD0006,4,,1.94193,1.94193,14.6617,162.641,,771,NAM,MM
RC17HSTD0006,4.1,,2.04193,2.04193,15.4423,149.528,,771,NAM,MM
RC17HSTD0006,4.2,,2.21186,2.21186,14.6389,156.449,,771,NAM,MM
RC17HSTD0006,4.3,,2.10029,2.10029,15.2648,162.641,,771,NAM,MM
RC17HSTD0006,4.4,,2.15524,2.15524,14.5834,162.459,,771,NAM,MM
RC17HSTD0006,4.5,,2.34147,2.34147,14.4918,162.277,,771,NAM,MM
RC17HSTD0006,4.6,,2.18658,2.18658,14.443,162.641,,771,NAM,MM
RC17HSTD0006,4.7,,2.17144,2.17144,14.2337,150.985,,771,NAM,MM
RC17HSTD0006,4.8,,2.77264,2.77264,14.5118,162.641,,771,NAM,MM
RC17HSTD0006,4.9,,2.98419,2.98419,14.2519,162.459,,771,NAM,MM
RC17HSTD0006,5,,2.59755,2.59755,14.6874,162.641,,771,NAM,MM
RC17HSTD0006,5.1,,2.98049,2.98049,14.3652,156.084,,771,NAM,MM
RC17HSTD0006,5.2,,3.27852,3.27852,14.1436,150.985,,771,NAM,MM
RC17HSTD0006,5.3,,2.86293,2.86293,14.8766,162.641,,771,NAM,MM
RC17HSTD0006,5.4,,2.64542,2.64542,14.4302,169.38,,771,NAM,MM
RC17HSTD0006,5.5,,2.75911,2.75911,14.8049,174.297,,771,NAM,MM
RC17HSTD0006,5.6,,2.78043,2.78043,14.506,181.582,,771,NAM,MM
RC17HSTD0006,5.7,,2.76329,2.76329,14.6051,162.277,,771,NAM,MM
RC17HSTD0006,5.8,,2.61232,2.61232,14.032,162.641,,771,NAM,MM
RC17HSTD0006,5.9,,2.42079,2.42079,14.1693,162.823,,771,NAM,MM
RC17HSTD0006,6,,2.44285,2.44285,14.4277,168.469,,771,NAM,MM
RC17HSTD0006,6.1,,2.92901,2.92901,14.2153,173.933,,771,NAM,MM
RC17HSTD0006,6.2,,2.77843,2.77843,14.3851,169.198,,771,NAM,MM
RC17HSTD0006,6.3,,2.67303,2.67303,14.5284,162.641,,771,NAM,MM
RC17HSTD0006,6.4,,2.62431,2.62431,15.1737,175.572,,771,NAM,MM
RC17HSTD0006,6.5,,,2.42576,17.174,174.297,,771,NAM,MM
RC17HSTD0006,6.6,,,2.47104,17.5086,179.761,,771,NAM,MM
RC17HSTD0006,6.7,,2.28354,2.28354,14.793,169.016,,771,NAM,MM
RC17HSTD0006,6.8,,2.17122,2.17122,14.6013,179.761,,771,NAM,MM
RC17HSTD0006,6.9,,2.34826,2.34826,14.1201,182.129,,771,NAM,MM
RC17HSTD0006,7,,2.32562,2.32562,14.9509,174.297,,771,NAM,MM
RC17HSTD0006,7.1,,2.23158,2.23158,14.2621,162.641,,771,NAM,MM
RC17HSTD0006,7.2,,2.43918,2.43918,15.6006,175.572,,771,NAM,MM
RC17HSTD0006,7.3,,,2.52741,17.6386,168.469,,771,NAM,MM
RC17HSTD0006,7.4,,2.53857,2.53857,14.5257,175.754,,771,NAM,MM
RC17HSTD0006,7.5,,2.6276,2.6276,14.2515,174.297,,771,NAM,MM
RC17HSTD0006,7.6,,2.57454,2.57454,14.9414,191.782,,771,NAM,MM
RC17HSTD0006,7.7,,2.56457,2.56457,14.0814,207.627,,771,NAM,MM
